date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:57:50	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Nov%202023%2022:57:51%20GMT	http://themewagon.github.io/jobentry	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry.0.delayed	(from )
06:57:52	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Nov%202023%2022:57:51%20GMT	https://themewagon.github.io/jobentry	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry.1.delayed	(from )
06:57:53	51994/51994	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-cb1a%22	https://themewagon.github.io/jobentry/	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/index.html	(from )
06:57:53	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265334257-239b%22	https://themewagon.github.io/robots.txt		(from )
06:57:53	10434/10434	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263a00740-28c2%22	https://themewagon.github.io/jobentry/img/favicon.ico	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/favicon.ico	(from https://themewagon.github.io/jobentry/)
06:57:54	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/jobentry/)
06:57:54	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/jobentry/)
06:57:55	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%2263a00740-4239%22	https://themewagon.github.io/jobentry/lib/animate/animate.min.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/animate/animate.min.css	(from https://themewagon.github.io/jobentry/)
06:57:55	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2263a00740-b78%22	https://themewagon.github.io/jobentry/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/jobentry/)
06:57:55	164334/164334	---M-Z	200	added ('OK')	text/css	etag:W/%2263a00740-281ee%22	https://themewagon.github.io/jobentry/css/bootstrap.min.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/css/bootstrap.min.css	(from https://themewagon.github.io/jobentry/)
06:57:55	8204/8204	---M-Z	200	added ('OK')	text/css	etag:W/%2263a00740-200c%22	https://themewagon.github.io/jobentry/css/style.css	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/css/style.css	(from https://themewagon.github.io/jobentry/)
06:57:56	51994/51994	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-cb1a%22	https://themewagon.github.io/jobentry/index.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/index-2.html	(from https://themewagon.github.io/jobentry/)
06:57:57	11640/11640	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-2d78%22	https://themewagon.github.io/jobentry/about.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/about.html	(from https://themewagon.github.io/jobentry/)
06:57:57	38997/38997	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-9855%22	https://themewagon.github.io/jobentry/job-list.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/job-list.html	(from https://themewagon.github.io/jobentry/)
